Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,1.187500,1.210938,1.179688,1.203125,0.752505,27174400
1991-01-03,1.203125,1.226563,1.195313,1.203125,0.752505,37164800
1991-01-04,1.203125,1.242188,1.195313,1.210938,0.757391,44195200
1991-01-07,1.195313,1.210938,1.195313,1.199219,0.750062,38502400
1991-01-08,1.195313,1.210938,1.187500,1.187500,0.742732,40976000
1991-01-09,1.195313,1.250000,1.195313,1.199219,0.750062,86828800
1991-01-10,1.203125,1.218750,1.187500,1.210938,0.757391,29497600
1991-01-11,1.210938,1.250000,1.203125,1.242188,0.776937,37833600
1991-01-14,1.218750,1.242188,1.207031,1.234375,0.772050,48531200
1991-01-15,1.234375,1.273438,1.234375,1.261719,0.789153,65952000
1991-01-16,1.273438,1.335938,1.273438,1.316406,0.823358,96227200
1991-01-17,1.351563,1.406250,1.250000,1.312500,0.820915,334278400
1991-01-18,1.281250,1.375000,1.281250,1.367188,0.855119,162854400
1991-01-21,1.367188,1.421875,1.359375,1.406250,0.879551,99132800
1991-01-22,1.406250,1.414063,1.359375,1.367188,0.855119,69724800
1991-01-23,1.359375,1.398438,1.347656,1.371094,0.857562,66992000
1991-01-24,1.375000,1.398438,1.351563,1.367188,0.855119,67129600
1991-01-25,1.367188,1.406250,1.359375,1.375000,0.860006,54745600
1991-01-28,1.367188,1.382813,1.343750,1.375000,0.860006,46371200
1991-01-29,1.375000,1.406250,1.351563,1.390625,0.869779,49126400
1991-01-30,1.359375,1.398438,1.359375,1.398438,0.874665,124227200
1991-01-31,1.398438,1.429688,1.390625,1.429688,0.894210,89472000
1991-02-01,1.429688,1.507813,1.421875,1.468750,0.918642,110697600
1991-02-04,1.476563,1.480469,1.429688,1.468750,0.918642,54518400
1991-02-05,1.476563,1.511719,1.453125,1.500000,0.938188,59536000
1991-02-06,1.484375,1.570313,1.476563,1.562500,0.977279,104876800
1991-02-07,1.554688,1.570313,1.523438,1.539063,0.962620,94841600
1991-02-08,1.523438,1.539063,1.484375,1.511719,0.945518,51305600
1991-02-11,1.507813,1.562500,1.500000,1.546875,0.967507,56972800
1991-02-12,1.539063,1.539063,1.437500,1.503906,0.940632,118281600
1991-02-13,1.492188,1.503906,1.468750,1.500000,0.938188,58633600
1991-02-14,1.507813,1.515625,1.453125,1.476563,0.923529,42867200
1991-02-15,1.484375,1.539063,1.476563,1.523438,0.952847,73747200
1991-02-19,1.527344,1.570313,1.515625,1.562500,0.977279,65536000
1991-02-20,1.554688,1.585938,1.539063,1.554688,0.972393,62329600
1991-02-21,1.554688,1.585938,1.539063,1.546875,0.967507,40393600
1991-02-22,1.546875,1.593750,1.539063,1.554688,0.972393,53542400
1991-02-25,1.578125,1.585938,1.554688,1.562500,0.977279,48956800
1991-02-26,1.546875,1.554688,1.531250,1.546875,0.967507,31670400
1991-02-27,1.546875,1.578125,1.523438,1.539063,0.962620,37612800
1991-02-28,1.531250,1.531250,1.476563,1.492188,0.933301,61635200
1991-03-01,1.484375,1.523438,1.476563,1.492188,0.933301,46179200
1991-03-04,1.476563,1.507813,1.468750,1.500000,0.938188,44016000
1991-03-05,1.515625,1.617188,1.500000,1.605469,1.004155,93955200
1991-03-06,1.617188,1.648438,1.605469,1.609375,1.006598,90358400
1991-03-07,1.601563,1.625000,1.570313,1.617188,1.011484,39276800
1991-03-08,1.632813,1.648438,1.609375,1.609375,1.006598,32966400
1991-03-11,1.515625,1.523438,1.421875,1.429688,0.894210,275084800
1991-03-12,1.429688,1.468750,1.406250,1.414063,0.884438,110016000
1991-03-13,1.445313,1.500000,1.425781,1.488281,0.930858,112934400
1991-03-14,1.515625,1.539063,1.476563,1.484375,0.928416,100636800
1991-03-15,1.492188,1.500000,1.453125,1.476563,0.923529,53542400
