Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,0.155382,0.155382,0.151910,0.151910,0.116491,63561600
1991-01-03,0.151910,0.152778,0.145833,0.145833,0.111831,104716800
1991-01-04,0.144965,0.147569,0.139757,0.141493,0.108503,194803200
1991-01-07,0.140625,0.140625,0.136285,0.138021,0.105840,89971200
1991-01-08,0.138021,0.144097,0.138021,0.143229,0.109834,64108800
1991-01-09,0.146701,0.146701,0.141493,0.142361,0.109169,89942400
1991-01-10,0.144097,0.144097,0.141493,0.144097,0.110500,49363200
1991-01-11,0.144097,0.144097,0.141493,0.142361,0.109169,33580800
1991-01-14,0.140625,0.145833,0.140625,0.144097,0.110500,59328000
1991-01-15,0.144097,0.155382,0.144097,0.154948,0.118821,85248000
1991-01-16,0.155382,0.166667,0.154514,0.162326,0.124479,105724800
1991-01-17,0.170139,0.174479,0.164931,0.170139,0.130470,178502400
1991-01-18,0.168403,0.172743,0.165799,0.172743,0.132467,110448000
1991-01-21,0.171875,0.183160,0.171007,0.183160,0.140455,85795200
1991-01-22,0.183160,0.185764,0.177951,0.179253,0.137459,145036800
1991-01-23,0.178819,0.179688,0.175347,0.177083,0.135795,108691200
1991-01-24,0.177951,0.179688,0.176215,0.176215,0.135130,68083200
1991-01-25,0.176215,0.187500,0.176215,0.186632,0.143118,107596800
1991-01-28,0.184896,0.194444,0.184462,0.192708,0.147777,148867200
1991-01-29,0.192708,0.193142,0.185764,0.190972,0.146446,171216000
1991-01-30,0.191840,0.200521,0.190972,0.198785,0.152437,157852800
1991-01-31,0.199653,0.206597,0.198351,0.203125,0.155765,138441600
1991-02-01,0.203125,0.208333,0.200521,0.202257,0.155100,118886400
1991-02-04,0.202257,0.203125,0.197917,0.200521,0.153768,134064000
1991-02-05,0.203993,0.207465,0.201389,0.202257,0.155100,94550400
1991-02-06,0.200521,0.206597,0.197049,0.203993,0.156431,113155200
1991-02-07,0.205729,0.209201,0.197049,0.197483,0.151438,144921600
1991-02-08,0.203993,0.207465,0.195313,0.204861,0.157096,503251200
1991-02-11,0.204861,0.210938,0.199653,0.200087,0.153435,272822400
1991-02-12,0.200521,0.205729,0.199653,0.205729,0.157762,513072000
1991-02-13,0.204861,0.209201,0.204861,0.209201,0.160425,166550400
1991-02-14,0.208333,0.209201,0.202257,0.203125,0.155765,171964800
1991-02-15,0.202257,0.203993,0.201389,0.203125,0.155765,195811200
1991-02-19,0.203125,0.203993,0.199653,0.201389,0.154434,157996800
1991-02-20,0.200521,0.203125,0.200521,0.200521,0.153768,60739200
1991-02-21,0.201389,0.201389,0.197917,0.197917,0.151771,75225600
1991-02-22,0.197049,0.199653,0.191840,0.197049,0.151106,299664000
1991-02-25,0.197917,0.200521,0.195313,0.197049,0.151106,97660800
1991-02-26,0.197049,0.197049,0.190104,0.192708,0.147777,111974400
1991-02-27,0.190972,0.192708,0.183160,0.187066,0.143450,195811200
1991-02-28,0.188368,0.195747,0.187500,0.194444,0.149109,132624000
1991-03-01,0.195313,0.199653,0.193576,0.197917,0.151771,91641600
1991-03-04,0.200521,0.201389,0.198785,0.200521,0.153768,60019200
1991-03-05,0.201389,0.207465,0.199653,0.207465,0.159093,138124800
1991-03-06,0.209201,0.210938,0.197917,0.197917,0.151771,164505600
1991-03-07,0.197917,0.198351,0.184028,0.190104,0.145780,379987200
1991-03-08,0.192708,0.197917,0.190972,0.192708,0.147777,132969600
1991-03-11,0.191840,0.191840,0.179688,0.184028,0.141121,154742400
1991-03-12,0.182292,0.182292,0.171875,0.171875,0.131801,223430400
1991-03-13,0.173611,0.182292,0.172743,0.181424,0.139124,231984000
1991-03-14,0.184896,0.187066,0.168403,0.171875,0.131801,365299200
1991-03-15,0.174479,0.175347,0.163194,0.166667,0.127807,219081600
1991-03-18,0.168403,0.184028,0.164931,0.177083,0.135795,120052800
1991-03-19,0.173611,0.184028,0.170139,0.180556,0.138458,83707200
1991-03-20,0.185764,0.199653,0.182292,0.196181,0.150440,200649600
1991-03-21,0.199653,0.203125,0.180556,0.184028,0.141121,163929600
1991-03-22,0.180556,0.189236,0.177083,0.178819,0.137127,72259200
1991-03-25,0.180556,0.180556,0.168403,0.171007,0.131136,87148800
1991-03-26,0.168403,0.176215,0.168403,0.173611,0.133133,185673600
1991-03-27,0.173611,0.185764,0.164931,0.184028,0.141121,478137600
1991-03-28,0.184028,0.184028,0.166667,0.169271,0.129804,301708800
1991-04-01,0.166667,0.166667,0.145833,0.154514,0.118488,326966400
1991-04-02,0.161458,0.182292,0.159722,0.180556,0.138458,350582400
1991-04-03,0.182292,0.184028,0.175347,0.182292,0.139789,188913600
1991-04-04,0.178819,0.185764,0.175347,0.177083,0.135795,147859200
1991-04-05,0.177083,0.178819,0.159722,0.174479,0.133798,168753600
1991-04-08,0.171875,0.182292,0.170139,0.180556,0.138458,40939200
1991-04-09,0.180556,0.180556,0.175347,0.177083,0.135795,45403200
1991-04-10,0.177083,0.180556,0.175347,0.176215,0.135130,56433600
1991-04-11,0.178819,0.190972,0.177083,0.189236,0.145115,111038400
1991-04-12,0.187500,0.201389,0.187500,0.197917,0.151771,141537600
1991-04-15,0.197917,0.197917,0.185764,0.192708,0.147777,46483200
1991-04-16,0.192708,0.208333,0.187500,0.206597,0.158428,177422400
1991-04-17,0.208333,0.227431,0.206597,0.225694,0.173072,298425600
1991-04-18,0.223958,0.225694,0.217014,0.223958,0.171741,144489600
1991-04-19,0.222222,0.222222,0.215278,0.220486,0.169078,126100800
1991-04-22,0.217014,0.218750,0.203125,0.211806,0.162422,66081600
1991-04-23,0.213542,0.220486,0.213542,0.215278,0.165084,46440000
1991-04-24,0.217014,0.223958,0.215278,0.223958,0.171741,90417600
1991-04-25,0.222222,0.223958,0.211806,0.217014,0.166416,73281600
1991-04-26,0.211806,0.215278,0.211806,0.211806,0.162422,54619200
1991-04-29,0.211806,0.215278,0.197917,0.199653,0.153103,55468800
1991-04-30,0.197917,0.206597,0.196181,0.206597,0.158428,77976000
1991-05-01,0.201389,0.211806,0.197917,0.208333,0.159759,47980800
1991-05-02,0.211806,0.215278,0.210069,0.213542,0.163753,25977600
1991-05-03,0.213542,0.213542,0.208333,0.213542,0.163753,34387200
1991-05-06,0.210069,0.220486,0.208333,0.218750,0.167747,59601600
1991-05-07,0.220486,0.222222,0.206597,0.218750,0.167747,111945600
1991-05-08,0.220486,0.222222,0.206597,0.217014,0.166416,109123200
1991-05-09,0.220486,0.222222,0.213542,0.220486,0.169078,90489600
1991-05-10,0.229167,0.232639,0.210069,0.213542,0.163753,276739200
1991-05-13,0.213542,0.220486,0.213542,0.220486,0.169078,99460800
